year,decade,unique_words,density,unique_words_raw,density_raw,nouns,verbs,adjectives,syllables,most_used_term,most_used_freq,curses,total_curses,reading_score,sentiment,charted
1966,1960,49,99,78,178,45,36,16,91,man,10,0,0,3.56258426966,-0.8834,1
1966,1960,35,84,66,242,35,83,8,77,babi,10,0,0,2.84454545455,0.8316,1
1966,1960,43,75,74,191,37,49,3,84,boot,7,0,0,3.10952879581,0.9423,1
1966,1960,44,112,82,271,63,57,17,83,bill,20,0,0,3.09402214022,0.9853,1
1966,1960,62,84,102,191,45,36,13,123,day,4,0,0,5.51895287958,0.926,1
1966,1960,40,92,70,234,31,59,17,76,oh,10,0,0,2.53247863248,0.1779,1
1966,1960,36,70,62,181,34,48,9,72,love,6,0,0,2.61392265193,0.9944,1
1967,1960,46,87,77,230,24,59,18,81,oh,9,0,0,2.85565217391,0.9643,1
1967,1960,53,209,85,335,118,70,27,92,girl,23,0,0,3.89059701493,0.9985,1
1967,1960,53,97,81,198,43,27,32,87,green,10,0,0,3.10484848485,0.9812,1
1967,1960,50,79,84,171,32,33,14,95,got,4,0,0,4.08555555556,0.9698,1
1967,1960,31,101,55,226,32,76,14,63,love,13,0,0,1.98938053097,0.9976,1
1967,1960,26,122,51,217,73,40,1,53,ba,49,0,0,1.19202764977,0.985,1
1967,1960,42,139,73,324,80,72,32,79,littl,25,0,0,3.52716049383,0.9839,1
1967,1960,89,157,131,339,52,85,42,153,love,18,1,1,5.97566371681,0.9987,1
1967,1960,55,104,86,250,53,62,5,91,love,8,0,0,3.3852,0.9881,1
1967,1960,38,99,63,203,54,56,1,67,babi,8,0,0,2.20458128079,0.0,1
1967,1960,23,74,41,173,60,27,0,43,know,6,0,0,0.462947976879,0.0,1
1967,1960,41,51,74,126,21,31,9,79,love,4,0,0,4.14841269841,0.985,1
1967,1960,41,66,67,142,40,26,13,68,want,4,0,0,2.79070422535,0.9898,1
1967,1960,29,55,53,120,16,47,2,53,love,11,0,0,1.96166666667,0.9899,1
1967,1960,58,78,86,151,32,43,13,94,lovin,6,0,0,4.48569536424,0.1759,1
1967,1960,55,145,86,291,74,102,19,91,babi,33,0,0,3.56003436426,0.9984,1
1967,1960,43,86,70,159,30,38,18,79,see,10,0,0,3.00289308176,-0.7964,1
1967,1960,55,104,93,258,34,72,6,104,love,14,0,0,3.84658914729,0.9971,1
1967,1960,14,47,24,81,19,22,7,25,away,11,0,0,-0.388024691358,0.8555,0
